1671606432 -0.06534 -0.10868 0.02146 -0.04513 -0.02051 -0.12655 0.99072
1671606432 -0.06978 -0.17664 0.02600 -0.05771 -0.01376 -0.14347 0.98787
1671606432 -0.00837 -0.14874 -0.01247 -0.06248 -0.01044 -0.15854 0.98532
1671606433 0.06974 -0.07474 -0.05013 -0.07947 -0.00883 -0.17240 0.98178
1671606433 0.17542 0.04824 -0.09133 -0.08745 0.00454 -0.18946 0.97798
1671606433 0.30268 0.21390 -0.13436 -0.08899 0.00762 -0.20226 0.97525
1671606433 0.44913 0.42067 -0.17869 -0.09733 0.00476 -0.20930 0.97298
1671606433 0.74648 0.82009 -0.27062 -0.10893 0.01745 -0.22940 0.96706
1671606434 0.83406 1.13835 -0.32138 -0.12105 0.01735 -0.24566 0.96161
1671606434 0.89261 1.47453 -0.37415 -0.13183 0.02181 -0.25993 0.95634
1671606434 1.06368 1.86964 -0.44376 -0.13300 0.01483 -0.27412 0.95234
1671606434 1.23548 2.30210 -0.51061 -0.13817 0.00619 -0.28886 0.94733
1671606434 1.43861 2.80988 -0.58578 -0.13890 0.00923 -0.30548 0.94197
1671606435 1.62100 3.50467 -0.67245 -0.15011 0.00517 -0.32071 0.93519
1671606435 1.91967 4.14114 -0.75191 -0.15789 -0.00330 -0.33578 0.92861
1671606435 2.40929 5.15340 -0.87828 -0.16677 -0.00824 -0.35787 0.91872
1671606435 2.59741 6.00898 -0.93873 -0.17993 -0.00985 -0.37442 0.90958
1671606436 2.81751 6.83453 -0.95516 -0.19466 -0.02249 -0.39602 0.89709
1671606436 3.53181 8.23361 -1.03653 -0.19390 -0.01635 -0.42289 0.88504
1671606436 3.95515 9.28025 -1.06316 -0.20420 -0.01565 -0.43826 0.87521
1671606436 4.44509 10.28507 -0.99567 -0.21077 -0.01845 -0.45439 0.86531
1671606436 4.83121 11.30489 -0.84951 -0.22042 -0.01595 -0.47116 0.85391
1671606437 5.28461 12.60076 -0.83491 -0.23529 -0.01059 -0.48508 0.84215
1671606437 5.45956 13.68526 -0.52463 -0.24602 -0.01498 -0.50230 0.82882
1671606437 5.82092 15.75103 -0.18222 -0.25140 -0.02599 -0.52599 0.81207
1671606437 5.87748 16.89651 0.35360 -0.26371 -0.02916 -0.53945 0.79912
1671606438 5.45501 17.71119 1.29035 -0.27667 -0.03624 -0.55578 0.78310
1671606438 5.37768 19.08785 2.09120 -0.28687 -0.03678 -0.57440 0.76578
1671606441 -0.04287 0.19008 -0.21104 -0.02637 -0.06550 -0.00160 0.99750
1671606441 0.45739 -0.37516 -0.32634 -0.03167 -0.07347 -0.00178 0.99679
1671606444 0.07931 0.15343 -0.00189 -0.00396 -0.06287 0.01574 0.99789
1671606445 0.35930 0.41900 0.10030 0.00401 -0.06777 0.02285 0.99743
1671606445 0.39246 0.47255 0.14293 0.01009 -0.06574 0.02714 0.99742
1671606445 0.49976 0.56823 0.15621 0.01267 -0.06735 0.02921 0.99722
1671606445 0.23511 0.43361 0.26104 0.02216 -0.07692 0.02952 0.99635
